title,rate,cuisine,location,address,street,price_from,price_till,url
Index Coffee Co.,4.32,['Kafe'],Laswi,Laswee Creative Space,"Jl. Laswi No. 1, Laswi, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/index-coffee-co-laswi
Pizza Hut,4.36,,['Riau'],,"Jl. LLRE Martadinata No. 126, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/pizza-hut-riau
Orlin Affordable Dining,4.45,,['Burangrang'],,"Jl. Lodaya No. 42, Burangrang, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/orlin-affordable-dining-burangrang
Yumaju Coffee,3.99,['Kafe'],Trunojoyo,,"Jl. Maulana Yusuf No. 10, Trunojoyo, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/yumaju-coffee-trunojoyo
Mago Coffee,4.20,['Kafe'],Riau,,"Jl. Bengawan No. 64, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/mago-coffee-riau
Ambrogio Patisserie,4.23,['Kafe'],Kota Baru Parahyangan,,"Jl. Parahyangan Kav. 6B No. 3, Kota Baru Parahyangan, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/ambrogio-patisserie-kota-baru-parahyangan
Wiki Koffie,3.84,['Kafe'],Braga,,"Jl. Braga No. 90, Braga, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/wiki-koffie-braga
Sankyodai Coffee,3.96,['Kafe'],Dago Bawah,Travelers Inn,"Jl. Aria Jipang No. 6, Dago Bawah, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/sankyodai-coffee-dago-bawah
Plantarcana,4.00,['Kafe'],Progo,,"Jl. Progo No. 5, Progo, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/plantarcana-progo
Liwet Asep Stroberi,3.98,['Indonesia'],Lembang,,"Jl. Raya Lembang No .177B, Lembang, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/liwet-asep-stroberi-lembang
Blue Doors,3.86,['Kafe'],Banceuy,,"Jl. Alkateri No. 1, Banceuy, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/blue-doors-banceuy
Bjorn Baker House,4.09,['Toko Roti dan Kue'],Naripan,Roemah Legit,"Jl. Embong No. 15, Naripan, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/bjorn-baker-house-naripan
Byron Selective,3.92,['Kafe'],Progo,,"Jl. Progo No. 2, Progo, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/byron-selective-progo
Selasih,4.04,['Indonesia'],Surapati,,"Jl. Cikutra Baru VI No. 34, Surapati, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/selasih-surapati
